yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
船舶海洋与建筑工程学院,姜静,副教授                  ,混凝土结构设计                                    ,001-(2016-2017-2)CV357(教学班),48,3,"行课安排为第1-12周,其中:
星期一  第1节--第2节
东上院304(1-12周) 姜静(1-12周)
星期四  第3节--第4节
东上院304(1-12周) 姜静(1-12周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,26,东上院304,闵行东上院      
船舶海洋与建筑工程学院,方从启,副教授                  ,建筑力学（2）,001-(2016-2017-2)AR112(教学班),51,3,"行课安排为第1-12周,其中:
星期三  第1节--第2节
下院404(1-12周) 方从启(1-12周)
星期五  第3节--第4节
下院404(1-12周) 方从启(1-12周)",仅限建筑学专业                                                                                                                                                                                                                                                      ,2015,2016-2017,2,27,下院404,闵行下院        
船舶海洋与建筑工程学院,于洪洁,副教授                  ,毕业设计（论文）（工程力学）                      ,001-(2016-2017-2)BS003(教学班),340,20,"行课安排为第1-16周,其中:
星期六  第7节--第8节
 不安排教室 于洪洁(1-16周)",限工程力学                                                                                                                                                                                                                                                          ,2013,2016-2017,2,24,,
船舶海洋与建筑工程学院,于洪洁,副教授                  ,机械振动                                          ,001-(2016-2017-2)EM309(教学班),32,2,"行课安排为第1-8周,其中:
星期二  第9节--第10节
东中院1-102(1-8周) 于洪洁(1-8周)
星期四  第1节--第2节
东中院1-102(1-8周) 于洪洁(1-8周)",限工程力学                                                                                                                                                                                                                                                          ,2014,2016-2017,2,18,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,顾解忡,副研究员                ,船舶流体力学                                      ,001-(2016-2017-2)NA235(教学班),68,4,"行课安排为第1-16周,其中:
星期一  第3节--第4节
下院404(1-16周) 顾解忡(1-16周)
下院404(1-16周) 万德成(1-16周)
下院404(1-16周) 邹璐(1-16周)
星期四  第1节--第2节
下院404(1-16周) 顾解忡(1-16周)
下院404(1-16周) 万德成(1-16周)
下院404(1-16周) 邹璐(1-16周)",全英文授课，限本专业Francis Noblesse合上                                                                                                                                                                                                                            ,2015,2016-2017,2,18,下院404,闵行下院        
船舶海洋与建筑工程学院,叶冠林,教授                    ,基坑工程（A类）                                   ,001-(2016-2017-2)CV300(教学班),48,3,"行课安排为第9-16周,其中:
星期二  第7节--第8节
东上院304(9-16周) 叶冠林(9-16周)
东上院304(9-16周) 张璐璐(9-16周)
星期四  第1节--第2节
东上院304(9-16周) 叶冠林(9-16周)
东上院304(9-16周) 张璐璐(9-16周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,28,东上院304,闵行东上院      
船舶海洋与建筑工程学院,叶冠林,教授                    ,给水排水工程                                      ,001-(2016-2017-2)CV317(教学班),32,2,"行课安排为第9-16周,其中:
星期二  第1节--第2节
东上院304(9-16周) 叶冠林(9-16周)
星期四  第7节--第8节
东上院304(9-16周) 叶冠林(9-16周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,27,东上院304,闵行东上院      
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,外国近现代建筑史                                  ,001-(2016-2017-2)AR222(教学班),32,2,"行课安排为第1-8周,其中:
星期一  第1节--第2节
东下院105(1-8周) 赵冬梅(1-8周)
星期四  第3节--第4节
东下院105(1-8周) 赵冬梅(1-8周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,2,38,东下院105,闵行东下院      
船舶海洋与建筑工程学院,张卫刚,教授                    ,力学改变生活                                      ,001-(2016-2017-2)AV012(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
东中院1-304(1-16周).张卫刚 教授
东中院1-304(1-16周).余征跃 高级工程师",先修课程物理                                                                                                                                                                                                                                                        ,0,2016-2017,2,11,东中院1-304,闵行东中院      
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,结构模型设计与制作（卓越计划）                    ,001-(2016-2017-2)CV360(教学班),48,3,"行课安排为第1-16周,其中:
星期六  第3节--第4节
 不安排教室 宋晓冰(1-16周)",限土木，虚拟时间，选课资格需任课老师认定，卓越班优先                                                                                                                                                                                                                ,2015,2016-2017,2,26,,
